,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,sample size,column radius (um),connection probability,dataset,citation
213,L4,L3,DTC,STC,45,50,0.5111111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
214,L4,L3,ITC,DTC,60,50,0.11666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
215,L4,L3,ITC,ITC,132,50,0.15151515151515152,Schneider-Mizell2024,schneider-mizell_cell-type_2024
216,L4,L3,ITC,L3a,888,50,0.007882882882882882,Schneider-Mizell2024,schneider-mizell_cell-type_2024
217,L4,L3,ITC,L3b,1152,50,0.0078125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
218,L4,L3,ITC,PTC,144,50,0.1597222222222222,Schneider-Mizell2024,schneider-mizell_cell-type_2024
219,L4,L3,ITC,STC,60,50,0.06666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
220,L4,L3,PTC,DTC,70,50,0.07142857142857142,Schneider-Mizell2024,schneider-mizell_cell-type_2024
221,L4,L3,PTC,ITC,154,50,0.23376623376623376,Schneider-Mizell2024,schneider-mizell_cell-type_2024
222,L4,L3,PTC,L3a,1036,50,0.609073359073359,Schneider-Mizell2024,schneider-mizell_cell-type_2024
223,L4,L3,PTC,L3b,1344,50,0.578125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
224,L4,L3,PTC,PTC,168,50,0.5476190476190477,Schneider-Mizell2024,schneider-mizell_cell-type_2024
225,L4,L3,PTC,STC,70,50,0.1,Schneider-Mizell2024,schneider-mizell_cell-type_2024
226,L4,L3,STC,ITC,11,50,0.2727272727272727,Schneider-Mizell2024,schneider-mizell_cell-type_2024
227,L4,L3,STC,L3a,74,50,0.02702702702702703,Schneider-Mizell2024,schneider-mizell_cell-type_2024
228,L4,L3,STC,L3b,96,50,0.010416666666666666,Schneider-Mizell2024,schneider-mizell_cell-type_2024
229,L4,L4,DTC,DTC,72,50,0.4722222222222222,Schneider-Mizell2024,schneider-mizell_cell-type_2024
230,L4,L4,DTC,ITC,108,50,0.2222222222222222,Schneider-Mizell2024,schneider-mizell_cell-type_2024
231,L4,L4,DTC,L4a,576,50,0.5642361111111112,Schneider-Mizell2024,schneider-mizell_cell-type_2024
232,L4,L4,DTC,L4b,1368,50,0.5021929824561403,Schneider-Mizell2024,schneider-mizell_cell-type_2024
233,L4,L4,DTC,L4c,729,50,0.41838134430727025,Schneider-Mizell2024,schneider-mizell_cell-type_2024
234,L4,L4,DTC,PTC,126,50,0.5634920634920635,Schneider-Mizell2024,schneider-mizell_cell-type_2024
235,L4,L4,DTC,STC,9,50,0.3333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
236,L4,L4,ITC,DTC,108,50,0.49074074074074076,Schneider-Mizell2024,schneider-mizell_cell-type_2024
237,L4,L4,ITC,ITC,132,50,0.1893939393939394,Schneider-Mizell2024,schneider-mizell_cell-type_2024
238,L4,L4,ITC,L4a,768,50,0.0078125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
