ecephys_unit_id,receptive field area (degrees),region,layer,spiking class,citation,dataset
915960812,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960825,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960832,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960835,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960838,400.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960859,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960876,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960886,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960889,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960897,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960906,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960914,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960921,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960923,1300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960931,1300.0,VISp,,FS,siegle_survey_2019,Siegle2019
915961123,900.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960933,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961119,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960947,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960962,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960968,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960972,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960975,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961131,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960996,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961015,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915961104,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961134,900.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961230,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915961233,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915961237,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915961242,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915961245,1600.0,grey,,FS,siegle_survey_2019,Siegle2019
915961253,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915961255,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915961260,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915961263,700.0,grey,,FS,siegle_survey_2019,Siegle2019
915963524,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915961267,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915961269,1800.0,grey,,FS,siegle_survey_2019,Siegle2019
915961283,2400.0,grey,,FS,siegle_survey_2019,Siegle2019
915961291,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915961297,900.0,grey,,RS,siegle_survey_2019,Siegle2019
915961303,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915961320,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915961338,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915961343,2000.0,grey,,FS,siegle_survey_2019,Siegle2019
915961348,100.0,grey,,RS,siegle_survey_2019,Siegle2019
